№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
1,KaRima,"проспект Мангилик Ел, 54, Астана",+77008830000,4.5,3362,180,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001062539740,cafe_0001.html
2,SF,"улица Кайым Мухамедханов, 19а, Астана",+77777888888,4.4,14809,1385,Не указано,"Шавермы, Бизнес-ланч, Завтрак, Заказ столиков, Заказ навынос",https://2gis.kz/astana/firm/70000001081796894,cafe_0002.html
3,Огонёк,"улица Балкантау, 143, Астана",+77779991893,4.6,190,43,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001110023287,cafe_0003.html
4,Quyrdaq House,"улица Туркестан, 10, Астана",+77028590519,4.7,2263,463,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001066032033,cafe_0004.html
5,Гол+Пас,"проспект Мангилик Ел, 17, Астана",+77474436930,4.7,211,143,Не указано,Спортивный бар,https://2gis.kz/astana/firm/70000001098729335,cafe_0005.html
6,La Mia Piazza,"проспект Туран, 22/1, Астана",+77010225022,4.7,1872,609,9000 тнг,Чек 9000 тнг,https://2gis.kz/astana/firm/70000001055933855,cafe_0006.html
7,ШАВЕРМА,"улица Сыганак, 3а, Астана",+77008099999,4.7,524,42,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001090335055,cafe_0007.html
8,Arnau,"проспект Туран, 30, Астана",+77172279111,4.8,465,220,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001018336720,cafe_0008.html
9,Svoy,"улица Сыганак, 33, Астана",+77770900333,Нет рейтинга,15,40,Не указано,"Стейк-хаус, Авторская кухня, Бизнес-ланч, Заказ столиков, Винная карта",https://2gis.kz/astana/firm/70000001110614121,cafe_0009.html
10,Arqa,"улица Гейдара Алиева, 2, Астана",+77773337033,4.8,193,191,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001104653792,cafe_0010.html
11,На Востоке,"проспект Туран, 44/2, Астана",+77022350988,4.5,976,290,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001082380718,cafe_0011.html
12,Vo Dvore,"проспект Мангилик Ел, 47, Астана",+77020512712,4.5,831,153,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001093349648,cafe_0012.html
13,ONESHOTT COFFEE kitchen,"улица Сагадат Нурмагамбетов, 23/1, Астана",+77715469380,4.9,852,288,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001089412653,cafe_0013.html
14,Okadzaki.kz,"проспект Мангилик Ел, 56, Астана",+77773333333,4.5,3372,221,Не указано,"Суши, Пицца, Бургеры, Доставка wok, Завтраки",https://2gis.kz/astana/firm/70000001046688777,cafe_0014.html
15,Шашлыкоff,"улица Мухтара Ауэзова, 43, Астана",+77475431313,4.8,146,63,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001069460115,cafe_0015.html
16,Шашлыкоff,"улица Мухтара Ауэзова, 43, Астана",+77475431313,4.7,3147,406,4000 тнг,"Премия 2ГИС 2017, Чек 4000 тнг",https://2gis.kz/astana/firm/70000001019630846,cafe_0016.html
17,Brewery,"проспект Туран, 30, Астана",+77172567711,4.7,510,151,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001018064401,cafe_0017.html
18,The Moon,"улица Акмешит, 1 блок 6, Астана",+77089177777,4.4,399,65,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001088180882,cafe_0018.html
19,Lanzhou,"проспект Мангилик Ел, 17, Астана",+77001611161,4.9,867,211,Не указано,Кафе,https://2gis.kz/astana/firm/70000001102905501,cafe_0019.html
20,CTR Chicken,"проспект Ракымжан Кошкарбаев, 29, Астана",+77750545245,4.6,2100,253,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001033083770,cafe_0020.html
21,Шашлычок,"Кабанбай батыр проспект, 49, Астана",+77009005900,4.8,216,77,Не указано,Кафе,https://2gis.kz/astana/firm/70000001105216108,cafe_0021.html
22,Үш тандыр,"шоссе Коргалжын, 6, Астана",+77074201010,4.7,4172,262,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001059993399,cafe_0022.html
23,Узбечка №1,"улица Алихан Бокейхан, 10, Астана",+77011866868,4.9,4363,302,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001018123817,cafe_0023.html
24,TokpokkiGo,"улица Кенжебек Кумисбеков, 2, Астана",+77052876266,4.7,305,201,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001092742388,cafe_0024.html
25,Мико Бешбармак,"улица Жанайдар Жирентаев, 14, Астана",+77014427777,4.3,2185,388,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001068825291,cafe_0025.html
26,Baoli,"улица Туркестан, 16, Астана",+77087089998,4.4,2341,205,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001052485674,cafe_0026.html
27,Yummy maki,"улица Абикен Бектуров, 1/2, Астана",+77074681010,3.8,2364,148,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001093033571,cafe_0027.html
28,Донер на Абая,"улица Кенесары, 47, Астана",+77756890228,4.9,7776,310,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001088913151,cafe_0028.html
29,Mirage restaurant,"улица Достык, 13, Астана",+77010699966,Нет рейтинга,88,134,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001109969131,cafe_0029.html
30,I’M,"Кабанбай батыр проспект, 26, Астана",+77470503292,4.2,2381,321,2500 тнг,"Премия 2ГИС 2016, Чек 2500 тнг",https://2gis.kz/astana/firm/70000001022017868,cafe_0030.html
31,Park Baku,"проспект Абая, 27, Астана",+77077007227,4.9,411,109,Не указано,"Кавказская кухня, Азербайджанская кухня, Заказ навынос, Живая музыка, Летняя веранда",https://2gis.kz/astana/firm/70000001097591884,cafe_0031.html
32,Bella Ciao,"проспект Туран, 53в, Астана",+77751108802,4.6,1037,514,Не указано,"Винный ресторан, Итальянская кухня, Завтрак, Заказ столиков, Заказ навынос",https://2gis.kz/astana/firm/70000001100876739,cafe_0032.html
33,Мясоед,"Кабанбай батыр проспект, 49, Астана",+77007370050,4.9,242,123,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001101957970,cafe_0033.html
34,Laliko,"улица Е 900, 4, Астана",+77019958005,4.6,250,147,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001102949399,cafe_0034.html
35,Gaststätte,"проспект Женис, 2, Астана",+77474442625,4.9,257,97,8500 тнг,Чек 8500 тнг,https://2gis.kz/astana/firm/70000001018067004,cafe_0035.html
36,Алтай mix,"улица Каныш Сатпаев, 9, Астана",+77786009834,4.6,817,282,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001055311697,cafe_0036.html
37,Frito,"улица Сыганак, 11, Астана",+77009360000,4.6,1347,149,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001089401701,cafe_0037.html
38,SQ PLOV,"улица Ахмет Байтурсынулы, 6, Астана",+77004480000,4.8,2270,228,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001096834597,cafe_0038.html
39,Aura Verdant,"улица Арай, 29а, Астана",+77014443666,4.4,998,285,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001041019753,cafe_0039.html
40,Syrovarnya,"улица Динмухамед Конаев, 8/1, Астана",+77788699922,4.9,590,202,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104406770,cafe_0040.html
41,Izmir Doner&Lagman house,"улица Алихан Бокейхан, 25а, Астана",+77079291010,4.4,949,164,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001088884272,cafe_0041.html
42,Sushifox,"проспект Абая, 21, Астана",+77476759060,4.7,544,178,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001055336448,cafe_0042.html
43,Saporito,"проспект Ракымжан Кошкарбаев, 34, Астана",+77172655065,4.8,641,264,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001020311229,cafe_0043.html
44,RAVAT,"улица Елубай Тайбеков, 13, Астана",+77026493131,4.6,3076,396,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001098330988,cafe_0044.html
45,Bloom Room Cafe,"проспект Туран, 52, Астана",+77057774440,4.6,1945,939,6500 тнг,Чек 6500 тнг,https://2gis.kz/astana/firm/70000001080574946,cafe_0045.html
46,The Wine Cafe,"Кабанбай батыр проспект, 9/2, Астана",+77776660515,4.6,191,115,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001036545811,cafe_0046.html
47,Долма,"улица Алихан Бокейхан, 6, Астана",+77788101060,4.8,169,151,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001052503604,cafe_0047.html
48,ResPUBlika,"улица Алматы, 11, Астана",+77779990044,4.7,309,204,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001030459588,cafe_0048.html
49,Frito,"улица Сыганак, 11, Астана",+77009360000,4.6,1347,149,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001089401701,cafe_0049.html
50,SQ PLOV,"улица Ахмет Байтурсынулы, 6, Астана",+77004480000,4.8,2270,228,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001096834597,cafe_0050.html
51,Aura Verdant,"улица Арай, 29а, Астана",+77014443666,4.4,998,285,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001041019753,cafe_0051.html
52,Syrovarnya,"улица Динмухамед Конаев, 8/1, Астана",+77788699922,4.9,590,202,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104406770,cafe_0052.html
53,Izmir Doner&Lagman house,"улица Алихан Бокейхан, 25а, Астана",+77079291010,4.4,949,164,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001088884272,cafe_0053.html
54,Sushifox,"проспект Абая, 21, Астана",+77476759060,4.7,544,178,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001055336448,cafe_0054.html
55,Saporito,"проспект Ракымжан Кошкарбаев, 34, Астана",+77172655065,4.8,641,264,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001020311229,cafe_0055.html
56,RAVAT,"улица Елубай Тайбеков, 13, Астана",+77026493131,4.6,3076,396,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001098330988,cafe_0056.html
57,Bloom Room Cafe,"проспект Туран, 52, Астана",+77057774440,4.6,1945,939,6500 тнг,Чек 6500 тнг,https://2gis.kz/astana/firm/70000001080574946,cafe_0057.html
58,The Wine Cafe,"Кабанбай батыр проспект, 9/2, Астана",+77776660515,4.6,191,115,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001036545811,cafe_0058.html
59,Долма,"улица Алихан Бокейхан, 6, Астана",+77788101060,4.8,169,151,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001052503604,cafe_0059.html
60,ResPUBlika,"улица Алматы, 11, Астана",+77779990044,4.7,309,204,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001030459588,cafe_0060.html
61,Kebab Pub,"Кабанбай батыр проспект, 40, Астана",+77007574152,4.9,881,250,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001075884220,cafe_0061.html
62,Гурьев,"проспект Улы Дала, 56, Астана",+77023382212,4.8,193,102,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001103710278,cafe_0062.html
63,Korean street food,"улица Жумекен Нажимеденов, 26, Астана",+77087500212,Нет рейтинга,105,16,Не указано,"Раменные, Корейская кухня, Заказ навынос, Лапша wok, Пельмени",https://2gis.kz/astana/firm/70000001101696452,cafe_0063.html
64,Shish lavash,"улица Санжара Асфендиярова, 2, Астана",+77760798877,4.8,453,116,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001084519902,cafe_0064.html
65,WokLagman,"улица Толе би, 46, Астана",+77781896085,4.3,551,96,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001092881575,cafe_0065.html
66,Грузин Кузин,"улица Кайым Мухамедханов, 5, Астана",+77020075563,4.8,1779,404,Не указано,Ланч от 3850 тнг,https://2gis.kz/astana/firm/70000001094258746,cafe_0066.html
67,Столовая,"улица Куйши Дина, 9, Астана",+77475252215,4.3,19,9,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104491485,cafe_0067.html
68,Korean House,"Кабанбай батыр проспект, 62, Астана",+77712676702,4.2,743,122,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001028284553,cafe_0068.html
69,Däm Burger,"улица Шаймерден Косшыгулулы, 24, Астана",+77770000720,4.5,228,45,2500 тнг,"Скидки, Чек 2500 тнг",https://2gis.kz/astana/firm/70000001098528332,cafe_0069.html
70,Bellissimo Pizza,"ЖК Олимп палас, улица Туркестан, 8, Астана",+77172250809,4.7,187,81,Не указано,Кафе,https://2gis.kz/astana/firm/70000001102962363,cafe_0070.html
71,Papa John’s,"проспект Республики, 10, Астана",+77788783300,4.6,516,124,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001084470346,cafe_0071.html
72,Saperavi,"проспект Абая, 53, Астана",+77767776353,4.9,312,139,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001099181134,cafe_0072.html
73,У Апашки,"проспект Шакарим Кудайбердыулы, 32, Астана",+77172231640,4.4,200,74,1200 тнг,Чек 1200 тнг,https://2gis.kz/astana/firm/70000001043557728,cafe_0073.html
74,Ақмол,"улица Сыганак, 14, Астана",+77772009099,4.9,170,93,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001090543604,cafe_0074.html
75,P.S. XoXo,"улица Санжара Асфендиярова, 8, Астана",+77761919333,4.8,70,53,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001089631692,cafe_0075.html
76,Кекс,"улица Гейдара Алиева, 2, Астана",+77788886618,4.6,1132,389,Не указано,"Кофе с собой, Чай с собой, Смузи, Молочные коктейли, Свежевыжатые соки",https://2gis.kz/astana/firm/70000001047561607,cafe_0076.html
77,Origummy,"Бухар жырау улица, 27, Астана",+77471962929,4.9,294,245,Не указано,Кафе,https://2gis.kz/astana/firm/70000001090101423,cafe_0077.html
78,Изюм,"улица Айша биби, 14а, Астана",+77172401934,3.9,140,58,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001019833757,cafe_0078.html
79,Додо Пицца,"проспект Мангилик Ел, 47п, Астана",+77719444004,4.7,2630,279,3800 тнг,Чек 3800 тнг,https://2gis.kz/astana/firm/70000001048362608,cafe_0079.html
80,SIMPLE,"проспект Мангилик Ел, 51/2, Астана",+77753215383,4.6,520,61,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001076582201,cafe_0080.html
81,Мангал,"улица Илияс Омаров, 23, Астана",+77473017757,4.9,869,91,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001094979176,cafe_0081.html
82,MIAN,"Кабанбай батыр проспект, 58Б корпус 5, Астана",+77088888151,4.7,140,77,Не указано,"Китайская кухня, Восточная кухня, Молельная комната, Доставка, Wi-Fi для клиентов",https://2gis.kz/astana/firm/70000001101960091,cafe_0082.html
83,Kenori,"проспект Туран, 52/5, Астана",+77018191111,4.8,193,111,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001103335287,cafe_0083.html
84,Коркем,"Кабанбай батыр проспект, 33, Астана",+77079311566,4.9,54,24,1800 тнг,Чек 1800 тнг,https://2gis.kz/astana/firm/70000001056842451,cafe_0084.html
85,Safa,"проспект Мангилик Ел, 51/5, Астана",+77066101010,4.7,753,275,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001103347236,cafe_0085.html
86,Buonissimo,"улица Санжара Асфендиярова, 4, Астана",+77004349272,4.9,683,398,Не указано,"Кофе с собой, Чай с собой, Какао, Лимонад",https://2gis.kz/astana/firm/70000001078776156,cafe_0086.html
87,Fishka,"проспект Сарыарка, 34, Астана",+77089555423,4.8,78,51,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001101555927,cafe_0087.html
88,Алдияр,"улица Сауран, 10в, Астана",+77771555288,4.8,808,88,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001098986815,cafe_0088.html
89,Broccoli,"микрорайон Самал, 11, Астана",+77476901941,4.4,88,76,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001028529745,cafe_0089.html
90,Aula,"Кабанбай батыр проспект, 56, Астана",+77080854141,4.7,847,367,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001092745409,cafe_0090.html
91,Samgau,"проспект Абылай хана, 13/1, Астана",+77011549251,4.7,367,270,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001080544508,cafe_0091.html
92,losos go,"улица Жубан Молдагалиев, 10, Астана",+77004500909,4.9,212,150,Не указано,"Суши, Пицца, Закрытая пицца, Куриные крылышки, Пандус",https://2gis.kz/astana/firm/70000001062532595,cafe_0092.html
93,Hot Chick,"улица Сыганак, 18, Астана",+77771987770,4.7,277,76,Не указано,"Суши, Пицца, Бургеры, Закрытая пицца, Куриные крылышки",https://2gis.kz/astana/firm/70000001076517260,cafe_0093.html
94,Ас point,"проспект Республики, 52, Астана",+77008444570,4.9,53,65,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001105612614,cafe_0094.html
95,CrepeCafe,"улица Динмухамед Конаев, 12/1, Астана",+77719494949,4.7,2326,88,Не указано,"Суши, Бургеры, Доставка wok, Блины, Завтраки",https://2gis.kz/astana/firm/70000001025216760,cafe_0095.html
96,Кафе восточной кухни,"проспект Магжана Жумабаева, 25/2, Астана",+77770000011,Нет рейтинга,0,0,Не указано,Восточная кухня,https://2gis.kz/astana/firm/70000001105994406,cafe_0096.html
97,Creatti,"проспект Мангилик Ел, 59, Астана",+77000695959,4.7,509,229,Не указано,"Винный ресторан, Итальянская кухня, Европейская кухня, Бизнес-ланч, Заказ столиков",https://2gis.kz/astana/firm/70000001082710815,cafe_0097.html
98,Ләззат,"улица Санжара Асфендиярова, 9, Астана",+77002004444,4.8,124,89,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001091479073,cafe_0098.html
99,Центр плова,"Альмукан Сембинов улица, 11/2, Астана",+77786582942,4.7,449,133,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001027756634,cafe_0099.html
100,Jeti Samsa,"улица Розы Баглановой, 6п, Астана",+77073815777,4.2,430,42,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001065161438,cafe_0100.html
101,Moon Wise,"улица Жубан Молдагалиев, 5, Астана",+77773951808,4.8,69,75,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001109566402,cafe_0101.html
102,Crepe Mix,"Кабанбай батыр проспект, 47/1, Астана",+77027343858,4.7,78,94,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001077237212,cafe_0102.html
103,Бату Донер,"проспект Женис, 53, Астана",+77753967888,4.1,1337,194,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001029650614,cafe_0103.html
104,Qazaq.chicken.astana,"улица Беимбет Майлин, 21, Астана",+77028690989,4.9,270,184,3300 тнг,Чек 3300 тнг,https://2gis.kz/astana/firm/70000001089291608,cafe_0104.html
105,Elite sushi,"улица Сыганак, 11, Астана",+77476873926,4.9,901,238,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001100676656,cafe_0105.html
106,Rich,"Амангельды Иманова улица, 41, Астана",+77769990699,4.4,594,177,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001044281746,cafe_0106.html
107,Winners Pub,"улица Динмухамед Конаев, 35, Астана",+77026034813,4.8,547,153,Не указано,Ланч от 3590 тнг,https://2gis.kz/astana/firm/70000001066403082,cafe_0107.html
108,Круассан,"улица Илияс Омаров, 19, Астана",+77018228274,4.4,52,22,1000 тнг,Чек 1000 тнг,https://2gis.kz/astana/firm/70000001089286074,cafe_0108.html
109,Ajwa cafe,"проспект Абая, 98г, Астана",+77085885919,4.6,354,59,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001064083762,cafe_0109.html
110,D’Loco,"Кабанбай батыр проспект, 10, Астана",+77086133083,Нет рейтинга,123,92,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001106174762,cafe_0110.html
111,Ko&Kua,"Аль-Фараби проспект, 35, Астана",+77054099888,Нет рейтинга,94,90,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001103286716,cafe_0111.html
112,Qaganat,"проспект Тауелсиздик, 8/1, Астана",+77089705046,4.2,1447,170,Не указано,"Халяльная кухня, Бизнес-ланч, Кофе с собой, Чай с собой, Доставка",https://2gis.kz/astana/firm/70000001019592949,cafe_0112.html
113,Наурыз,"улица Беимбет Майлин, 1а, Астана",+77082206541,4.9,45,12,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001059821089,cafe_0113.html
114,Adal food,"улица Жидели, 9Б, Астана",+77029093133,Нет рейтинга,145,37,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001104375794,cafe_0114.html
115,Dos,"улица Карагандинская, 40/1 киоск, Астана",+77784096806,4.8,136,47,Не указано,"Восточная кухня, Заказ навынос, Шашлык, Чебуреки, Манты",https://2gis.kz/astana/firm/70000001075300645,cafe_0115.html
116,Sazan Mix,"улица Темирбек Жургенов, 28, Астана",+77089137200,4.7,236,37,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001091374276,cafe_0116.html
117,Chicken Mix,"улица Ахмет Байтурсынулы, 22 стр, Астана",+77780989049,4.8,261,50,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001098906224,cafe_0117.html
118,Astana Balyk,"проспект Магжана Жумабаева, 42/3а, Астана",+77785758495,4.7,82,15,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109812126,cafe_0118.html
119,Popeyes,"Кабанбай батыр проспект, 62, Астана",Не указано,3.1,326,100,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001103599871,cafe_0119.html
120,Той Doner,"улица Шаймерден Косшыгулулы, 11, Астана",+77780803828,4.5,740,74,Не указано,"Суши, Шаурма, Пицца, Бургеры, Вторые блюда",https://2gis.kz/astana/firm/70000001038677986,cafe_0120.html
121,Ajwa cafe,"проспект Абая, 98г, Астана",+77085885919,4.6,354,59,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001064083762,cafe_0121.html
122,D’Loco,"Кабанбай батыр проспект, 10, Астана",+77086133083,Нет рейтинга,123,92,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001106174762,cafe_0122.html
123,Ko&Kua,"Аль-Фараби проспект, 35, Астана",+77054099888,Нет рейтинга,94,90,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001103286716,cafe_0123.html
124,Шымкент,"улица Ыкылас Дукенулы, 36, Астана",+77751521551,4.2,387,81,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001028284612,cafe_0124.html
125,Wine Street,"улица Туркестан, 18, Астана",+77710558133,4.8,215,84,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001053405771,cafe_0125.html
126,Aiala Hogo,"улица Сагадат Нурмагамбетов, 23, Астана",+77008100888,4.7,414,161,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001090370752,cafe_0126.html
127,Dasushi,"проспект Тауелсиздик, 5, Астана",+77008009094,4.9,210,86,Не указано,"Суши, Пицца, Кофе, Куриные крылышки",https://2gis.kz/astana/firm/70000001090836481,cafe_0127.html
128,Unai Pizza and Pasta,"улица Кенжебек Кумисбеков, 4, Астана",+77475604889,4.9,287,215,Не указано,Ланч от 4590 тнг,https://2gis.kz/astana/firm/70000001098184745,cafe_0128.html
129,Coffee Original,"проспект Республики, 27, Астана",+77473538468,4.7,1986,506,3500 тнг,"Лучшая кофейня 2025, Чек 3500 тнг",https://2gis.kz/astana/firm/70000001075322780,cafe_0129.html
130,Cream Soda,"улица Сыганак, 52/1, Астана",+77079457777,4.8,129,88,4999 тнг,Чек 4999 тнг,https://2gis.kz/astana/firm/70000001101559411,cafe_0130.html
131,Куры гриль # 1,"улица Григория Потанина, 2, Астана",+77474436069,4.7,73,25,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001088214437,cafe_0131.html
132,Ogsushi.kz,"улица Айтеке би, 15, Астана",+77783036622,4.8,627,508,Не указано,"Суши, Доставка wok, Паста, Вторые блюда, Салаты",https://2gis.kz/astana/firm/70000001091477734,cafe_0132.html
133,Sun cafe,"Аль-Фараби проспект, 30, Астана",+77088002727,4.4,502,155,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001083950614,cafe_0133.html
134,Tuysqan,"улица Толе би, 54, Астана",+77780548808,4.8,129,85,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001102574675,cafe_0134.html
135,Roastbeef,"Кабанбай батыр проспект, 15/1, Астана",+77751029878,4.7,431,190,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001028159403,cafe_0135.html
136,Махаббатпен,"улица Кайым Мухамедханов, 6, Астана",+77472770932,4.7,268,135,1800 тнг,Чек 1800 тнг,https://2gis.kz/astana/firm/70000001080521322,cafe_0136.html
137,As-qazan,"проспект Тауелсиздик, 32, Астана",+77473805202,4.7,196,146,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001098630026,cafe_0137.html
138,Мятный Right,"улица Бердибек Сокпакбаев, 5, Астана",+77776896890,4.7,468,70,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001047110341,cafe_0138.html
139,Baqsha,"улица Санжара Асфендиярова, 2, Астана",+77788888754,4.7,619,136,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001063802747,cafe_0139.html
140,Наша пицца,"проспект Туран, 46Б/1, Астана",+77767760878,4.8,217,123,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001089272884,cafe_0140.html
141,Paradise,"проспект Тауелсиздик, 46/10, Астана",+77788004545,3.6,1600,398,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001040771244,cafe_0141.html
142,Food City,"улица Азильхан Нуршаихов, 10/1, Астана",+77073083038,4.5,97,13,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001080752572,cafe_0142.html
143,Doss,"улица Санжара Асфендиярова, 10, Астана",+77000842211,4.9,94,67,Не указано,Кафе,https://2gis.kz/astana/firm/70000001105319435,cafe_0143.html
144,Chaihana NAVAT,"Кабанбай батыр проспект, 21, Астана",+77776731111,4.9,20007,2086,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001040709213,cafe_0144.html
145,Ну,"улица Динмухамед Конаев, 14, Астана",+77782385137,4.9,1285,300,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001066638430,cafe_0145.html
146,Grill Master Doner,"проспект Ракымжан Кошкарбаев, 37/4киоск, Астана",+77080404020,4.7,430,30,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001063191547,cafe_0146.html
