№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
2734,Киоск фастфуда,"улица Сакена Сейфуллина, 45/1Б киоск, Астана",Не указано,2.1,23,3,Не указано,Кафе,https://2gis.kz/astana/firm/70000001077130212,cafe_2734.html
2735,Киоск фастфуда,"Александр Кравцов улица, 6 Б, Астана",Не указано,2.4,34,3,Не указано,"Чебуреки, Пирожки, Самса, Кофе с собой, Чай с собой",https://2gis.kz/astana/firm/70000001078604590,cafe_2735.html
2736,Точка быстрого питания,"улица генерала Сабыра Ракымова, 93е, Астана",Не указано,Нет рейтинга,13,14,500 тнг,Чек 500 тнг,https://2gis.kz/astana/firm/70000001087716042,cafe_2736.html
2737,Urban nomads,"Астана, Астана",+77004480000,3.9,16,1,Не указано,"Шаурма, Пирожки, Кофе с собой, Чай с собой",https://2gis.kz/astana/firm/70000001089071672,cafe_2737.html
2738,Столовая,"улица Бактыораза Бейсекбаева, 25/2а, Астана",+77475252215,Нет рейтинга,4,2,Не указано,Кафе,https://2gis.kz/astana/firm/70000001089676542,cafe_2738.html
2739,Gastro gourmet,"Площадь Защитников Отечества, улица Кажымукан, 1/4а, Астана",+77019341114,4.7,37,15,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001089718335,cafe_2739.html
2740,Узбекский уголок,"Астана, Астана",+77023056231,Нет рейтинга,2,15,Не указано,Кафе,https://2gis.kz/astana/firm/70000001090121960,cafe_2740.html
2741,Тандырная,"Астана, Астана",Не указано,4.3,10,1,Не указано,Кафе,https://2gis.kz/astana/firm/70000001090204945,cafe_2741.html
2742,Fast anar food,"Астана, Астана",Не указано,4.7,7,1,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001090353184,cafe_2742.html
2743,Киоск быстрого питания,"улица Темирказык, 80/1, Астана",Не указано,4.2,24,3,Не указано,Кафе,https://2gis.kz/astana/firm/70000001091855714,cafe_2743.html
2744,Киоск быстрого питания,"проспект Абылай хана, 38Б, Астана",Не указано,2.2,3,0,Не указано,"До 20 мест, Шаурма, Самса",https://2gis.kz/astana/firm/70000001092875921,cafe_2744.html
2745,Столовая,"улица Сакена Сейфуллина, 44/1 киоск, Астана",Не указано,4.9,1,3,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001096945768,cafe_2745.html
2746,Сдобный двор,"Астана, Астана",+77763532525,Нет рейтинга,2,9,Не указано,"До 50 мест, Доставка",https://2gis.kz/astana/firm/70000001098173786,cafe_2746.html
2747,Донерная,"проспект Бауыржан Момышулы, 27с, Астана",+77473856292,4.7,22,9,Не указано,"Шавермы, Заказ навынос, Шаурма, Чай с собой",https://2gis.kz/astana/firm/70000001100260049,cafe_2747.html
2748,Алма-ата,"улица Ахмета Жубанова, 63а, Астана",+77475252215,Нет рейтинга,1,2,1400 тнг,Чек 1400 тнг,https://2gis.kz/astana/firm/70000001100563502,cafe_2748.html
2749,Asian Mix,"проспект Туран, 4/3Б, Астана",+77083256097,3.9,7,2,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001101187252,cafe_2749.html
2750,Киоск быстрого питания,"Амангельды Иманова улица, 18е, Астана",Не указано,1.8,5,2,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001102204744,cafe_2750.html
2751,Точка быстрого питания,"улица Ушкопир, 1в, Астана",Не указано,3.9,5,1,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001102451336,cafe_2751.html
2752,Шашлычная,"улица Темирбек Жургенов, 30г, Астана",+77074461790,Нет рейтинга,14,7,Не указано,"Шашлычные, Заказ навынос, Шашлык",https://2gis.kz/astana/firm/70000001102741774,cafe_2752.html
2753,Столовая,"переулок Бурылтай, 10/2, Астана",+77005500547,3.4,6,3,1700 тнг,Чек 1700 тнг,https://2gis.kz/astana/firm/70000001103032297,cafe_2753.html
2754,Anar,"Астана, Астана",Не указано,3.6,7,1,1700 тнг,Чек 1700 тнг,https://2gis.kz/astana/firm/70000001103415677,cafe_2754.html
2755,Тандырная,"Астана, Астана",+77478926530,Нет рейтинга,6,2,Не указано,"Заказ навынос, Самса",https://2gis.kz/astana/firm/70000001103431231,cafe_2755.html
2756,Павильон по продаже кур-гриль,"улица Евгения Брусиловского, 10/4, Астана",+77071745452,Нет рейтинга,1,2,Не указано,"Заказ навынос, Куры-гриль",https://2gis.kz/astana/firm/70000001103964578,cafe_2756.html
2757,Вкусняшки,"Астана, Астана",+77079311566,Нет рейтинга,5,2,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104873434,cafe_2757.html
2758,Шашлычная,"проспект Магжана Жумабаева, 83, Астана",+77008830000,Нет рейтинга,0,5,Не указано,"Шашлычные, Шашлык",https://2gis.kz/astana/firm/70000001105189546,cafe_2758.html
2759,Столовая,"улица Сакена Сейфуллина, 45/3, Астана",+77017995967,Нет рейтинга,1,0,1800 тнг,Чек 1800 тнг,https://2gis.kz/astana/firm/70000001105816226,cafe_2759.html
2760,Вкусно как у мамы,"улица Ер Кокше, 35, Астана",+77052236704,Нет рейтинга,0,3,1700 тнг,Чек 1700 тнг,https://2gis.kz/astana/firm/70000001109996869,cafe_2760.html
2761,Киоск быстрого питания,"улица Гумар Караш, 68, Астана",+77008830000,Нет рейтинга,0,5,Не указано,Кафе,https://2gis.kz/astana/firm/70000001110259181,cafe_2761.html
2762,СоусОк,"улица Кордай, 81а, Астана",+77008830000,Нет рейтинга,0,2,Не указано,Кафе,https://2gis.kz/astana/firm/70000001110362034,cafe_2762.html
2763,Точка быстрого питания,"улица Кенен Азербаев, 6/5а, Астана",+77008830000,2.5,3,2,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001110485010,cafe_2763.html
2764,Точка быстрого питания,"улица Алексея Петрова, 22/2, Астана",+77028588202,Нет рейтинга,3,2,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001110487364,cafe_2764.html
2765,The Doner на углях,"улица Динмухамед Конаев, 12/1, Астана",+77786465588,Нет рейтинга,0,0,Не указано,Кафе,https://2gis.kz/astana/firm/70000001111429078,cafe_2765.html
2766,Sazan Fish,"улица Динмухамед Конаев, 12/2, Астана",+77026018686,Нет рейтинга,0,56,Не указано,"До 50 мест, Пицца, Манты, Картофель-фри, Салаты",https://2gis.kz/astana/firm/70000001111495572,cafe_2766.html
2767,Угли,"улица Достык, 4, Астана",+77005081010,Нет рейтинга,33,26,Не указано,Кафе,https://2gis.kz/astana/firm/70000001111500973,cafe_2767.html
2768,Донер777,"проспект Туран, 55/5, Астана",+77008830000,Нет рейтинга,0,8,Не указано,Кафе,https://2gis.kz/astana/firm/70000001111514990,cafe_2768.html
